UniProt_ID,Entry_name,weighted_mean_rank,rank_sd,TMD_count,Length,leakage_any,TMD_class,role,LLPS_mode,evidence_in_vivo,evidence_in_vitro,is_Receptor,is_Ion Channel,is_Transporter,is_Hydrolase,is_GPCR,is_Transferase,is_Adhesion,is_Receptor Tyrosine Kinase,is_Kinase,functional_groups,locations
Q86WV6,STING_HUMAN,0.6762975255977816,0.2681921022892014,4,379,True,multi,driver,autonomous,False,False,False,True,True,False,False,False,False,False,False,Ion Channel;Transporter,Endoplasmic reticulum membrane;Perinuclear region;Endoplasmic reticulum-Golgi intermediate compartment membrane;Golgi apparatus membrane;Autophagosome membrane;Mitochondrion outer membrane;Cell membrane
Q04671,P_HUMAN,0.6683394233750263,0.2743435288100555,12,838,False,multi,driver,autonomous,False,False,False,True,True,False,False,False,False,False,False,Ion Channel;Transporter,Melanosome membrane
P15529,MCP_HUMAN,0.6652414561139289,0.2247726481566164,1,392,False,single,both,partner_dependent,False,False,False,False,False,False,False,False,False,False,False,,Acrosome inner membrane
P61073,CXCR4_HUMAN,0.6615626114365359,0.1995746507568848,7,352,False,multi,both,both,False,False,True,False,False,False,True,False,False,False,False,GPCR;Receptor,Cell membrane;Cell junction;Early endosome;Late endosome;Lysosome
Q9BRQ8,FSP1_HUMAN,0.6586451147672865,0.2468599256912196,1,373,False,single,driver,autonomous,True,True,False,False,False,False,False,False,False,False,False,Oxidoreductase,Lipid droplet;Cell membrane;Cytoplasm;Mitochondrion membrane;Nucleus
O60733,PLPL9_HUMAN,0.6182467636885511,0.2191634084733714,2,806,False,multi,both,both,False,False,False,False,False,True,False,False,False,False,False,Hydrolase,Cytoplasm;Cell membrane;Mitochondrion;Pseudopodium
P31431,SDC4_HUMAN,0.6093024722215387,0.2812865813540046,1,198,False,single,driver,autonomous,True,True,True,False,False,False,False,False,False,False,False,Receptor,Membrane;Secreted
Q9Y624,JAM1_HUMAN,0.5898120633628108,0.1993803101803189,1,299,False,single,unclear,unclear,False,False,False,False,False,False,False,False,True,False,False,Adhesion,Tight junction;Cell membrane
P08172,ACM2_HUMAN,0.5854395952090472,0.2038574713971723,7,466,False,multi,unclear,unclear,False,False,True,False,False,False,True,False,False,False,False,GPCR;Receptor,Cell membrane;Postsynaptic cell membrane
P13569,CFTR_HUMAN,0.5803666965587876,0.2314153622394463,12,1480,False,multi,unclear,unclear,True,False,False,True,True,True,False,False,False,False,False,Ion Channel;Transporter;Hydrolase,Apical cell membrane;Early endosome membrane;Cell membrane;Recycling endosome membrane;Endoplasmic reticulum membrane;Nucleus
P40967,PMEL_HUMAN,0.5681005878497812,0.2321808421244021,1,661,True,single,driver,autonomous,False,False,False,False,False,False,False,False,False,False,False,,Endoplasmic reticulum membrane;cis-Golgi network membrane;Multivesicular body;Melanosome;Extracellular vesicle;Secreted
P08908,5HT1A_HUMAN,0.5617710961085899,0.2099804351180121,7,422,True,multi,unclear,unclear,False,False,True,False,False,False,True,False,False,False,False,GPCR;Receptor,Cell membrane;Dendrite
P63027,VAMP2_HUMAN,0.556490862278516,0.3020997829860566,1,116,False,single,driver,both,True,True,False,False,False,False,False,False,False,False,False,,Synaptic vesicle membrane;Cell membrane
Q8TEM1,PO210_HUMAN,0.5549829106085313,0.2080135599492237,1,1887,True,single,unclear,unclear,False,False,False,False,False,False,False,False,False,False,False,,Nuclear pore complex;Nucleus membrane;Endoplasmic reticulum membrane
Q14BN4,SLMAP_HUMAN,0.5363198827524271,0.2441337087309618,2,828,False,multi,driver,autonomous,False,False,False,False,False,False,False,False,False,False,False,,Sarcolemma;M line;Z line;Centrosome;Endoplasmic reticulum membrane;Mitochondrion membrane
Q7Z3C6,ATG9A_HUMAN,0.5281582365697123,0.2537505435013831,8,839,False,multi,driver,both,False,False,False,False,True,False,False,False,False,False,False,Transporter,Preautophagosomal structure membrane;Autophagosome membrane;trans-Golgi network membrane;Late endosome membrane;Recycling endosome membrane;Endoplasmic reticulum membrane;Mitochondrion membrane
O14763,TR10B_HUMAN,0.5275334127226355,0.28652945067064,1,440,False,single,both,both,False,False,True,False,False,False,False,False,False,False,False,Receptor,Membrane
P07766,CD3E_HUMAN,0.5240429256292894,0.269723359569035,1,207,False,single,unclear,both,False,False,True,False,False,False,False,False,False,False,False,Receptor,Cell membrane
P01857,IGHG1_HUMAN,0.5171802682492634,0.2466541678652267,1,330,True,single,unclear,unclear,False,True,False,False,False,False,False,False,False,False,False,,Secreted;Cell membrane
Q8N114,SHSA5_HUMAN,0.5136035012733082,0.3580044560284653,1,240,False,single,driver,autonomous,False,False,False,False,False,False,False,False,False,False,False,,Endoplasmic reticulum membrane;Nucleus membrane
Q14739,LBR_HUMAN,0.4850138831837938,0.2038108254549028,8,615,True,multi,unclear,unclear,False,False,False,False,False,False,False,False,False,False,False,Oxidoreductase;Chromatin Remodeling,Nucleus inner membrane;Endoplasmic reticulum membrane;Cytoplasm;Nucleus
P17948,VGFR1_HUMAN,0.4493375199422086,0.2776875863762368,1,1338,True,single,driver,both,False,True,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell membrane;Endosome;Secreted;Cytoplasm
Q8WXG9,AGRV1_HUMAN,0.4388783004873308,0.2964410027037181,7,6306,False,multi,both,autonomous,False,True,True,False,False,True,True,False,True,False,False,GPCR;Hydrolase;Receptor;Adhesion,Cell membrane;Stereocilium membrane;Photoreceptor inner segment
P20963,CD3Z_HUMAN,0.4316374100216343,0.2939975285963129,1,164,False,single,unclear,autonomous,True,True,True,False,False,False,False,False,False,False,False,Receptor,Cell membrane
O60500,NPHN_HUMAN,0.4305021987674768,0.255076992559687,1,1241,True,single,client,autonomous,False,False,False,False,False,False,False,False,True,False,False,Adhesion,Cell membrane
P35968,VGFR2_HUMAN,0.4252403666709382,0.2607389543692266,1,1356,True,single,unclear,partner_dependent,False,True,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell junction;Endoplasmic reticulum;Cell membrane;Cytoplasm;Nucleus;Cytoplasmic vesicle;Early endosome;Secreted
P05556,ITB1_HUMAN,0.4231143132345608,0.275100967371359,1,798,True,single,driver,autonomous,False,True,True,False,False,False,False,False,True,False,False,Receptor;Adhesion,Cell membrane;Invadopodium membrane;Ruffle membrane;Recycling endosome;Melanosome;Cleavage furrow;Lamellipodium;Focal adhesion;Sarcolemma;Cell junction
O75445,USH2A_HUMAN,0.4215226765653179,0.314915768599143,1,5202,False,single,unclear,unclear,False,False,False,False,False,False,False,False,False,False,False,,Stereocilium membrane;Secreted
P05067,A4_HUMAN,0.4181535975508132,0.286437613610452,1,770,True,single,driver,both,False,False,False,False,False,False,False,False,True,False,False,Adhesion,Cell membrane;Membrane;Perikaryon;Growth cone;Clathrin-coated pit;Early endosome;Cytoplasmic vesicle;Endoplasmic reticulum;Golgi apparatus;Secreted;Cell surface;Nucleus;Cytoplasm
Q12879,NMDE1_HUMAN,0.4140849194898139,0.2042027207433833,4,1464,True,multi,both,both,True,False,True,True,True,False,False,False,False,False,False,Ion Channel;Transporter;Receptor,Dendritic spine;Cell membrane;Synapse;Postsynaptic cell membrane;Cytoplasmic vesicle membrane
P07949,RET_HUMAN,0.4116782158367195,0.2306842860593081,1,1114,True,single,unclear,unclear,False,False,True,False,False,False,False,True,True,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor;Adhesion,Cell membrane;Endosome membrane
P29317,EPHA2_HUMAN,0.4073923248053017,0.2580224686905752,1,976,False,single,unclear,partner_dependent,True,False,True,False,False,False,False,True,True,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor;Adhesion,Cell membrane;Ruffle membrane;Lamellipodium membrane;Focal adhesion
O75460,ERN1_HUMAN,0.4010542760189902,0.2263082486782678,1,977,False,single,driver,both,True,True,False,False,False,True,False,True,False,False,True,Kinase;Transferase;Hydrolase;Chaperone;RNA Processing,Endoplasmic reticulum membrane
Q9H461,FZD8_HUMAN,0.398187743542515,0.3114470007128535,7,694,False,multi,both,autonomous,False,False,True,False,False,False,True,False,False,False,False,GPCR;Receptor,Membrane;Golgi apparatus;Cell membrane
P08247,SYPH_HUMAN,0.3953107785487298,0.326940018784482,4,313,True,multi,driver,autonomous,False,False,False,False,False,False,False,False,False,False,False,,Synaptic vesicle membrane;Synaptosome
Q08345,DDR1_HUMAN,0.3947900143091319,0.2062669736444696,1,913,False,single,driver,autonomous,False,False,True,False,False,False,False,True,True,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor;Adhesion,Cell membrane;Secreted
P11362,FGFR1_HUMAN,0.3706369491404925,0.2087239284821446,1,822,True,single,unclear,partner_dependent,False,True,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell membrane;Nucleus;Cytosol;Cytoplasmic vesicle
P21802,FGFR2_HUMAN,0.3592968006796779,0.244103261184867,1,821,True,single,unclear,partner_dependent,False,False,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell membrane;Golgi apparatus;Cytoplasmic vesicle;Secreted
Q8NC56,LEMD2_HUMAN,0.3584206994591657,0.2796315589799923,2,503,True,multi,driver,autonomous,True,True,False,False,False,False,False,False,False,False,False,,Nucleus inner membrane;Nucleus envelope;Spindle
P15941,MUC1_HUMAN,0.3335425928036174,0.301227388731777,1,1255,False,single,unclear,unclear,True,False,False,False,False,False,False,False,False,False,False,,Apical cell membrane;Secreted;Cell membrane;Cytoplasm;Nucleus
Q15303,ERBB4_HUMAN,0.329499394238383,0.2595603303089908,1,1308,True,single,unclear,partner_dependent,False,True,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell membrane;Nucleus;Mitochondrion
O75581,LRP6_HUMAN,0.3151500562068078,0.1828734892276056,1,1613,False,single,driver,autonomous,False,False,True,False,True,False,False,False,True,False,False,Transporter;Receptor;Adhesion,Cell membrane;Endoplasmic reticulum;Membrane raft
P46531,NOTC1_HUMAN,0.302632524903031,0.3297280677360894,1,2555,False,single,driver,autonomous,True,True,True,False,False,False,False,False,False,False,False,Receptor,Cell membrane;Late endosome membrane;Nucleus
O43561,LAT_HUMAN,0.3007526710098598,0.2718003616808674,1,262,True,single,unclear,partner_dependent,False,False,False,False,False,False,False,False,False,False,False,,Cell membrane
Q9UM73,ALK_HUMAN,0.2744962620361646,0.1986347002341116,1,1620,True,single,unclear,unclear,False,False,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell membrane
Q7Z434,MAVS_HUMAN,0.2583491420433667,0.2771424318261371,1,540,True,single,both,autonomous,True,True,False,False,False,False,False,False,False,False,False,,Mitochondrion outer membrane;Mitochondrion;Peroxisome
P04626,ERBB2_HUMAN,0.2480401250311803,0.1270106738668081,1,1255,True,single,unclear,partner_dependent,False,True,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell membrane;Ruffle membrane;Early endosome;Perinuclear region;Nucleus;Cytoplasm
P00533,EGFR_HUMAN,0.2115195980925985,0.1938803378270403,1,1210,True,single,both,both,False,False,True,False,False,False,False,True,True,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor;Adhesion,Cell membrane;Endoplasmic reticulum membrane;Golgi apparatus membrane;Nucleus membrane;Endosome;Endosome membrane;Nucleus;Secreted
Q07065,CKAP4_HUMAN,0.1785313705990495,0.227707474070537,1,602,True,single,driver,autonomous,True,True,False,False,False,False,False,False,False,False,False,,Endoplasmic reticulum membrane;Cell membrane;Cytoskeleton;Perinuclear region
Q9BR39,JPH2_HUMAN,0.1599470735905676,0.2276795878247861,1,696,True,single,driver,autonomous,False,False,False,False,False,False,False,False,False,False,False,Transcription Factor,Cell membrane;Sarcoplasmic reticulum membrane;Endoplasmic reticulum membrane;Nucleus
