Entry,Entry name,p(LLPS),pLLPS_Class,TMD_count,Length,Functional_Categories,Compartment,PICNIC_score,PICNIC_GO_score,PSAP_score,PSPHunter_prob,PSPire_score,PSPire_includes_IDRs,PSPspredict_PDL,PSPspredict_catGRANULE,PSPspredict_PLAAC,PSPspredict_PScore,PSPspredict_ESpritz_DisProt,PSPspredict_SEG,PSPspredict_DeepPhase,PSPspredict_SaPS_10fea,PSPspredict_PdPS_10fea,PSPspredict_Psphunter,PSPspredict_PSPire
Q9UJA2,CRLS1_HUMAN,0.3,Low,5,301,['Transferase'],mitochondrion,0.1170661771,0.2628498104,0.0,0.053,0.0030629006,Yes,0.024668079,0.13801226993865,0.749493351786861,0.239889106327462,4.9079754601227e-05,0.896490797546012,,0.365546012269938,0.026306748466257,0.053,0.0019523581722751
P00533,EGFR_HUMAN,0.28,Low,1,1210,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor', 'Adhesion']",nucleus,0.7243557948,0.9770155874,0.000833333,0.781,0.9948772,Yes,0.85725904,0.784932515337423,0.921803173347832,0.885953468145249,0.547386503067484,0.525104294478527,0.510616869492236,0.919705521472392,0.956220858895705,0.781,0.997010350227356
P21802,FGFR2_HUMAN,0.27,Low,1,821,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",extracellular region,0.7650979889,0.9424842616,0.0,0.768,0.9132317,Yes,0.94704413,0.615950920245398,0.299243734862339,0.592411393781256,0.581398773006135,0.478625766871165,0.463533361309274,0.73403680981595,0.85163190184049,0.768,0.989517331123352
P08247,SYPH_HUMAN,0.27,Low,4,313,[],cytoplasmic vesicle,0.1996463957,0.0809225178,0.001666667,0.308,0.09619441,Yes,0.09528848,0.917349693251533,0.995600810637141,0.994564035659926,0.801128834355828,0.916564417177914,,0.958134969325153,0.816196319018405,0.308,0.106939315795898
Q14739,LBR_HUMAN,0.25,Low,8,615,"['Oxidoreductase', 'Chromatin Remodeling']",nucleus,0.3307056098,0.5650522090000001,0.0,0.424,0.5698512,Yes,0.121997654,0.555828220858895,0.48771687014977,0.563818221352468,0.541987730061349,0.53040490797546,0.435501468736886,0.819337423312883,0.688,0.424,0.952816784381866
P29317,EPHA2_HUMAN,0.24,Low,1,976,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor', 'Adhesion']",plasma membrane,0.6092959723,0.8335993825,0.0,0.795,0.83137894,No,0.9140496,0.754895705521472,0.430576837526568,0.633072407045009,4.9079754601227e-05,0.331582822085889,0.779353755770037,0.837595092024539,0.75641717791411,0.795,0.372473508119583
P17948,VGFR1_HUMAN,0.24,Low,1,1338,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",endosome,0.7882259247000001,0.9377701125,0.0,0.587,0.9283825,Yes,0.47822154,0.771435582822085,0.497108398003064,0.433083278973689,4.9079754601227e-05,0.314110429447852,0.211246328157784,0.298552147239263,0.766674846625766,0.587,0.983291506767273
P05556,ITB1_HUMAN,0.24,Low,1,798,"['Receptor', 'Adhesion']",endosome,0.6429573146,0.4607566586,0.000833333,0.77,0.3943021,No,0.8566749,0.869300613496932,0.542336018980772,0.872907153729071,4.9079754601227e-05,0.316515337423312,0.422324800671422,0.16721472392638,0.832,0.77,0.420895516872406
P10747,CD28_HUMAN,0.22,Low,1,220,['Receptor'],cytosol,0.08681307,0.1246023925,0.0,0.048,0.08280896,No,0.07588824,0.280098159509202,0.631950966338787,0.339802130898021,4.9079754601227e-05,4.9079754601227e-05,,0.741349693251533,0.53521472392638,0.048,0.0775647833943367
Q16635,TAZ_HUMAN,0.21,Low,1,292,['Transferase'],mitochondrion,0.3143809595,0.1119900462,0.0,0.295,0.009672598,No,0.023787301,0.410650306748466,0.051752261381048,0.163785605566427,4.9079754601227e-05,4.9079754601227e-05,0.110700797314309,0.568343558282208,0.321177914110429,0.295,0.108853138983249
P61073,CXCR4_HUMAN,0.19,Low,7,352,"['GPCR', 'Receptor']",lysosome,0.0584381525,0.1480987065,0.0,0.232,0.24888709,Yes,0.092421554,0.218552147239263,0.135584004745193,0.066155686018699,0.631116564417177,0.36961963190184,,0.762503067484662,0.659092024539877,0.232,0.307145565748214
Q15303,ERBB4_HUMAN,0.19,Low,1,1308,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",extracellular region,0.6498495255,0.9418487265,0.0,0.719,0.9430021,Yes,0.91226614,0.835484662576687,0.844792644950818,0.89117199391172,4.9079754601227e-05,0.213104294478527,,0.75322699386503,0.779190184049079,0.719,0.978199183940887
O00254,PAR3_HUMAN,0.19,Low,7,374,"['GPCR', 'Hydrolase', 'Receptor']",extracellular region,0.033985114,0.0564192103,0.0,0.082,0.0067556067,Yes,0.0671593,0.068073619631901,0.329692056744599,0.226081756903674,4.9079754601227e-05,0.307877300613496,,0.291190184049079,0.092220858895705,0.082,0.0044090170413255
Q9H3U5,MFSD1_HUMAN,0.18,Low,12,465,['Transporter'],lysosome,0.0456853351,0.0441884626,0.0,0.082,0.01865598,No,0.023559052,0.291190184049079,0.270080569423162,0.132039573820395,0.550773006134969,0.750871165644171,0.522786403692824,0.503558282208589,0.008196319018404,0.082,0.0133684370666742
Q9Y624,JAM1_HUMAN,0.18,Low,1,299,['Adhesion'],plasma membrane,0.1165015876,0.1385051991,0.0,0.336,0.1137257,Yes,0.30035985,0.424883435582822,0.562750234788196,0.727929984779299,4.9079754601227e-05,0.698503067484662,0.078220730172052,0.78763190184049,0.620368098159509,0.336,0.110078170895576
P31645,SC6A4_HUMAN,0.15,Low,12,630,"['Ion Channel', 'Transporter', 'Adhesion']",plasma membrane,0.0786668072,0.0928171348,0.0,0.169,0.011828845,Yes,0.07503053,0.370748466257668,0.534180218476595,0.42286366601435,0.544294478527607,4.9079754601227e-05,0.838858581619807,0.601128834355828,0.504294478527607,0.169,0.0121556241065263
P49146,NPY2R_HUMAN,0.15,Low,7,381,"['GPCR', 'Receptor']",plasma membrane,0.0676945485,0.0647755815,0.0,0.089,0.0028923738,Yes,0.08522265,0.136687116564417,0.118580396421333,0.034898891063274,0.587533742331288,0.350085889570552,,0.270380368098159,0.174723926380368,0.089,0.0027646373491734
P15954,COX7C_HUMAN,0.14,Low,1,63,[],mitochondrion,0.1903205977,0.0629877918,,0.112,0.49630556,No,0.019097123,0.055067484662576,0.064010676684296,,0.960638036809816,4.9079754601227e-05,,0.712687116564417,0.583754601226993,0.112,0.496305555105209
P13569,CFTR_HUMAN,0.13,Low,12,1480,"['Ion Channel', 'Transporter', 'Hydrolase']",nucleus,0.2546825181,0.4120775603,0.0,0.663,0.021911938,Yes,0.09145178,0.711067484662576,0.626464336908704,0.332952815829528,0.539533742331288,0.302723926380368,,0.719312883435582,0.505570552147239,0.663,0.022392014041543
Q9BRQ8,FSP1_HUMAN,0.11,Low,1,373,['Oxidoreductase'],nucleus,0.6706123549,0.6064170081,,0.174,0.102038205,No,0.03575878,0.713815950920245,0.636893875735257,0.549575994781474,4.9079754601227e-05,0.322748466257668,0.326059588753671,0.353570552147239,0.428662576687116,0.174,0.145127445459365
Q03135,CAV1_HUMAN,0.11,Low,1,178,[],endosome,0.1765001169,0.1565787829,0.0,0.516,0.9744093,No,0.03209884,0.172907975460122,0.07266076812812,0.004185692541856,4.9079754601227e-05,4.9079754601227e-05,0.06537977339488,0.74841717791411,0.653742331288343,0.516,0.987749099731445
Q13021,MALL_HUMAN,0.1,Low,4,153,['Structural'],plasma membrane,0.0720814804,0.0480926459,0.0,0.02,0.036293495,No,0.030321533,0.014085889570552,0.129158222529781,0.001032833224614,4.9079754601227e-05,0.410061349693251,,0.242699386503067,0.158871165644171,0.02,0.0505762882530689
