UniProt_ID,Entry_name,mean_rank,weighted_mean_rank,rank_sd,TMD_count,Length,leakage_any,TMD_class,role,LLPS_mode,evidence_in_vivo,evidence_in_vitro,is_Receptor,is_Ion Channel,is_Transporter,is_Hydrolase,is_GPCR,is_Transferase,is_Adhesion,is_Receptor Tyrosine Kinase,is_Kinase,functional_groups,locations
P08247,SYPH_HUMAN,0.6046412286330463,0.6046892214512701,0.3269400187844819,4,313,True,multi,driver,autonomous,False,False,False,False,False,False,False,False,False,False,False,,Synaptic vesicle membrane;Synaptosome
Q9H461,FZD8_HUMAN,0.621631528209322,0.6018122564574849,0.3114470007128535,7,694,False,multi,both,autonomous,False,False,True,False,False,False,True,False,False,False,False,GPCR;Receptor,Membrane;Golgi apparatus;Cell membrane
O75460,ERN1_HUMAN,0.6088188054535836,0.5989457239810099,0.2263082486782678,1,977,False,single,driver,both,True,True,False,False,False,True,False,True,False,False,True,Kinase;Transferase;Hydrolase;Chaperone;RNA Processing,Endoplasmic reticulum membrane
P29317,EPHA2_HUMAN,0.5741098313109142,0.5926076751946983,0.2580224686905753,1,976,False,single,unclear,partner_dependent,True,False,True,False,False,False,False,True,True,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor;Adhesion,Cell membrane;Ruffle membrane;Lamellipodium membrane;Focal adhesion
P07949,RET_HUMAN,0.579051866010862,0.5883217841632804,0.2306842860593081,1,1114,True,single,unclear,unclear,False,False,True,False,False,False,False,True,True,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor;Adhesion,Cell membrane;Endosome membrane
Q12879,NMDE1_HUMAN,0.5812676838742697,0.5859150805101859,0.2042027207433834,4,1464,True,multi,both,both,True,False,True,True,True,False,False,False,False,False,False,Ion Channel;Transporter;Receptor,Dendritic spine;Cell membrane;Synapse;Postsynaptic cell membrane;Cytoplasmic vesicle membrane
P05067,A4_HUMAN,0.5653109079852443,0.5818464024491868,0.286437613610452,1,770,True,single,driver,both,False,False,False,False,False,False,False,False,True,False,False,Adhesion,Cell membrane;Membrane;Perikaryon;Growth cone;Clathrin-coated pit;Early endosome;Cytoplasmic vesicle;Endoplasmic reticulum;Golgi apparatus;Secreted;Cell surface;Nucleus;Cytoplasm
O75445,USH2A_HUMAN,0.5780666689367085,0.5784773234346821,0.314915768599143,1,5202,False,single,unclear,unclear,False,False,False,False,False,False,False,False,False,False,False,,Stereocilium membrane;Secreted
P05556,ITB1_HUMAN,0.55576949238666,0.5768856867654392,0.275100967371359,1,798,True,single,driver,autonomous,False,True,True,False,False,False,False,False,True,False,False,Receptor;Adhesion,Cell membrane;Invadopodium membrane;Ruffle membrane;Recycling endosome;Melanosome;Cleavage furrow;Lamellipodium;Focal adhesion;Sarcolemma;Cell junction
P35968,VGFR2_HUMAN,0.5678849972245646,0.5747596333290618,0.2607389543692266,1,1356,True,single,unclear,partner_dependent,False,True,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell junction;Endoplasmic reticulum;Cell membrane;Cytoplasm;Nucleus;Cytoplasmic vesicle;Early endosome;Secreted
O60500,NPHN_HUMAN,0.5618171545208944,0.5694978012325231,0.255076992559687,1,1241,True,single,client,autonomous,False,False,False,False,False,False,False,False,True,False,False,Adhesion,Cell membrane
P20963,CD3Z_HUMAN,0.5542664069422044,0.5683625899783656,0.2939975285963129,1,164,False,single,unclear,autonomous,True,True,True,False,False,False,False,False,False,False,False,Receptor,Cell membrane
Q8WXG9,AGRV1_HUMAN,0.5583506789572802,0.5611216995126693,0.2964410027037181,7,6306,False,multi,both,autonomous,False,True,True,False,False,True,True,False,True,False,False,GPCR;Hydrolase;Receptor;Adhesion,Cell membrane;Stereocilium membrane;Photoreceptor inner segment
P17948,VGFR1_HUMAN,0.5395939246565227,0.5506624800577913,0.2776875863762368,1,1338,True,single,driver,both,False,True,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell membrane;Endosome;Secreted;Cytoplasm
Q14739,LBR_HUMAN,0.5191633533969502,0.5149861168162062,0.2038108254549028,8,615,True,multi,unclear,unclear,False,False,False,False,False,False,False,False,False,False,False,Oxidoreductase;Chromatin Remodeling,Nucleus inner membrane;Endoplasmic reticulum membrane;Cytoplasm;Nucleus
Q8N114,SHSA5_HUMAN,0.5007864175106324,0.4863964987266918,0.3580044560284653,1,240,False,single,driver,autonomous,False,False,False,False,False,False,False,False,False,False,False,,Endoplasmic reticulum membrane;Nucleus membrane
P01857,IGHG1_HUMAN,0.456630899250771,0.4828197317507366,0.2466541678652267,1,330,True,single,unclear,unclear,False,True,False,False,False,False,False,False,False,False,False,,Secreted;Cell membrane
P07766,CD3E_HUMAN,0.4860429147072845,0.4759570743707105,0.269723359569035,1,207,False,single,unclear,both,False,False,True,False,False,False,False,False,False,False,False,Receptor,Cell membrane
O14763,TR10B_HUMAN,0.4906714444880798,0.4724665872773645,0.28652945067064,1,440,False,single,both,both,False,False,True,False,False,False,False,False,False,False,False,Receptor,Membrane
Q7Z3C6,ATG9A_HUMAN,0.4916055618180414,0.4718417634302876,0.253750543501383,8,839,False,multi,driver,both,False,False,False,False,True,False,False,False,False,False,False,Transporter,Preautophagosomal structure membrane;Autophagosome membrane;trans-Golgi network membrane;Late endosome membrane;Recycling endosome membrane;Endoplasmic reticulum membrane;Mitochondrion membrane
Q14BN4,SLMAP_HUMAN,0.4622167663187073,0.4636801172475728,0.2441337087309618,2,828,False,multi,driver,autonomous,False,False,False,False,False,False,False,False,False,False,False,,Sarcolemma;M line;Z line;Centrosome;Endoplasmic reticulum membrane;Mitochondrion membrane
Q8TEM1,PO210_HUMAN,0.4448634729080145,0.4450170893914686,0.2080135599492237,1,1887,True,single,unclear,unclear,False,False,False,False,False,False,False,False,False,False,False,,Nuclear pore complex;Nucleus membrane;Endoplasmic reticulum membrane
P63027,VAMP2_HUMAN,0.4616250897656681,0.443509137721484,0.3020997829860566,1,116,False,single,driver,both,True,True,False,False,False,False,False,False,False,False,False,,Synaptic vesicle membrane;Cell membrane
P08908,5HT1A_HUMAN,0.4290062707776897,0.4382289038914102,0.2099804351180121,7,422,True,multi,unclear,unclear,False,False,True,False,False,False,True,False,False,False,False,GPCR;Receptor,Cell membrane;Dendrite
P40967,PMEL_HUMAN,0.4278484753318645,0.4318994121502187,0.2321808421244021,1,661,True,single,driver,autonomous,False,False,False,False,False,False,False,False,False,False,False,,Endoplasmic reticulum membrane;cis-Golgi network membrane;Multivesicular body;Melanosome;Extracellular vesicle;Secreted
P13569,CFTR_HUMAN,0.4192033889302338,0.4196333034412123,0.2314153622394463,12,1480,False,multi,unclear,unclear,True,False,False,True,True,True,False,False,False,False,False,Ion Channel;Transporter;Hydrolase,Apical cell membrane;Early endosome membrane;Cell membrane;Recycling endosome membrane;Endoplasmic reticulum membrane;Nucleus
P08172,ACM2_HUMAN,0.4189699497994892,0.4145604047909528,0.2038574713971723,7,466,False,multi,unclear,unclear,False,False,True,False,False,False,True,False,False,False,False,GPCR;Receptor,Cell membrane;Postsynaptic cell membrane
Q9Y624,JAM1_HUMAN,0.408314070841371,0.4101879366371892,0.1993803101803189,1,299,False,single,unclear,unclear,False,False,False,False,False,False,False,False,True,False,False,Adhesion,Tight junction;Cell membrane
P31431,SDC4_HUMAN,0.3877257033413789,0.3906975277784614,0.2812865813540046,1,198,False,single,driver,autonomous,True,True,True,False,False,False,False,False,False,False,False,Receptor,Membrane;Secreted
O60733,PLPL9_HUMAN,0.386383769851425,0.3817532363114488,0.2191634084733714,2,806,False,multi,both,both,False,False,False,False,False,True,False,False,False,False,False,Hydrolase,Cytoplasm;Cell membrane;Mitochondrion;Pseudopodium
Q9BRQ8,FSP1_HUMAN,0.3387888361533668,0.3413548852327135,0.2468599256912197,1,373,False,single,driver,autonomous,True,True,False,False,False,False,False,False,False,False,False,Oxidoreductase,Lipid droplet;Cell membrane;Cytoplasm;Mitochondrion membrane;Nucleus
P61073,CXCR4_HUMAN,0.3404511179973359,0.338437388563464,0.1995746507568848,7,352,False,multi,both,both,False,False,True,False,False,False,True,False,False,False,False,GPCR;Receptor,Cell membrane;Cell junction;Early endosome;Late endosome;Lysosome
P15529,MCP_HUMAN,0.3556328138613044,0.3347585438860712,0.2247726481566164,1,392,False,single,both,partner_dependent,False,False,False,False,False,False,False,False,False,False,False,,Acrosome inner membrane
Q04671,P_HUMAN,0.3643539677960915,0.3316605766249736,0.2743435288100555,12,838,False,multi,driver,autonomous,False,False,False,True,True,False,False,False,False,False,False,Ion Channel;Transporter,Melanosome membrane
Q86WV6,STING_HUMAN,0.3454322353734824,0.3237024744022184,0.2681921022892014,4,379,True,multi,driver,autonomous,False,False,False,True,True,False,False,False,False,False,False,Ion Channel;Transporter,Endoplasmic reticulum membrane;Perinuclear region;Endoplasmic reticulum-Golgi intermediate compartment membrane;Golgi apparatus membrane;Autophagosome membrane;Mitochondrion outer membrane;Cell membrane
P31645,SC6A4_HUMAN,0.3193069344596613,0.3082844303113098,0.1817409731162536,12,630,False,multi,driver,autonomous,False,False,False,True,True,False,False,False,True,False,False,Ion Channel;Transporter;Adhesion,Cell membrane;Endomembrane system;Endosome membrane;Synapse;Focal adhesion;Neuron projection
Q03135,CAV1_HUMAN,0.2799628957769779,0.3036500645393679,0.2512838427801656,1,178,False,single,driver,both,False,False,False,False,False,False,False,False,False,False,False,,Golgi apparatus membrane;Cell membrane;Caveola;Membrane raft;trans-Golgi network;Cytoplasm
P10747,CD28_HUMAN,0.2933967928184914,0.2887249591823982,0.2210792288574848,1,220,False,single,unclear,partner_dependent,False,True,True,False,False,False,False,False,False,False,False,Receptor,Cell membrane;Cell surface
Q9UJA2,CRLS1_HUMAN,0.311035860497548,0.2820307527758398,0.2739574656730573,5,301,False,multi,both,both,False,False,False,False,False,False,False,True,False,False,False,Transferase,Mitochondrion inner membrane
P15954,COX7C_HUMAN,0.2750096302003081,0.2755958749670195,0.322250422848616,1,63,False,single,driver,partner_dependent,False,False,False,False,False,False,False,False,False,False,False,,Mitochondrion inner membrane
Q9H3U5,MFSD1_HUMAN,0.2428691792790965,0.219451444025643,0.2444586405731341,12,465,False,multi,driver,autonomous,False,True,False,False,True,False,False,False,False,False,False,Transporter,Lysosome membrane
O00254,PAR3_HUMAN,0.2334765355636499,0.2103377033638208,0.212430204543849,7,374,False,multi,driver,autonomous,False,False,True,False,False,True,True,False,False,False,False,GPCR;Hydrolase;Receptor,Cell membrane
Q16635,TAZ_HUMAN,0.2031992272233436,0.2076645352217802,0.1378994175399537,1,292,False,single,client,both,False,False,False,False,False,False,False,True,False,False,False,Transferase,Mitochondrion outer membrane;Mitochondrion inner membrane;Mitochondrion membrane;Cytoplasm
P49146,NPY2R_HUMAN,0.1984664171535499,0.1798446427075741,0.1795679965718778,7,381,False,multi,driver,unclear,False,False,True,False,False,False,True,False,False,False,False,GPCR;Receptor,Cell membrane
Q13021,MALL_HUMAN,0.1917266673841776,0.1711299149769435,0.2136423422509603,4,153,False,multi,unclear,unclear,False,False,False,False,False,False,False,False,False,False,False,Structural,Membrane
